questions,area,topic
Describe the concept of *thermal runaway* in IGBT devices.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is voltage-controlled oscillator?.,Amplifiers and Oscillators,Oscillator
How does a piezoelectric sensor generate an electrical signal?.,Electronic Components and Applications,Capacitor
Describe the gate drive requirements for an IGBT.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is a flip-flop and how is it used in digital circuits?,Digital Electronics,Flip-Flop
Discuss the merits of using a bridge rectifier in voltmeter circuits for accurate AC voltage measurement.,Rectification and Diode Circuits,Bridge Rectifier
What is the significance of the **holding current** in an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Tuned Oscillator Circuit?.,Amplifiers and Oscillators,Oscillator
Explain the principle of *soft switching* in IGBT applications.,Power Electronics,IGBT as Inverter
Describe the regions for Transistor?.,Transistors,Load Line Shift for Transistor
Describe the basic working principle of a light dimmer using a triac.,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is the significance of Moore's Law in the context of integrated circuits?,Miscellaneous Topics,Shockley’s Equation
What is the significance of *switching losses* in IGBT operation?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What are the advantages of using a CMOS technology over NMOS or PMOS alone?.,Transistors,NMOS (N-type Metal-Oxide-Semiconductor)
Describe three terminals of MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the applications of programmable logic arrays (PLAs)?,Digital Electronics,Electronic Components and Applications
Describe the applications of light-activated SCRs?,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
How do you design a 2-to-4 line decoder using basic logic gates?,Logic Gates,Decoder
Explain the difference between a D flip-flop and a T flip-flop.,Digital Electronics,TTL (Transistor-Transistor Logic)
What are the cooling methods used for IGBT modules?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Explain the working principle of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
How does scaling down the dimensions of MOSFETs affect their performance?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How does a 7805 voltage regulator IC maintain a constant 5V output?.,Electronic Components and Applications,Voltage Regulator IC
Why is the MOSFET considered a voltage-controlled device?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the Turn on condition for MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How does a small base current control a much larger collector current in a BJT?.,Transistors,BJT (Bipolar Junction Transistor)
Describe the operation of an IGBT.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How do ICs contribute to the miniaturization of electronic devices?,Electronic Components and Applications,Integrated Circuits (ICs)
What is the significance of the power rating of a resistor?.,Electronic Components and Applications,Resistor
What is Frequency Demodulation?.,Miscellaneous Topics,Miller Effect Capacitance
How does a MOSFET act as a switch in a digital logic circuit?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Define a digital signal. How is it different from an analog signal?,Electronic Components and Applications,Capacitor
What is the role of an IGBT in a power factor correction (PFC) circuit?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How does a sigma-delta ADC work and where is it used?,Rectification and Diode Circuits,Sigma-Delta ADC
What is a Field-Programmable Gate Array (FPGA)?,Miscellaneous Topics,Shockley’s Equation
Describe constant-gain circuit?.,Amplifiers and Oscillators,Amplifier
Explain the function of a phase-locked loop (PLL) in an IC.,Electronic Components and Applications,555 Timer
What is a signal generator and what is it used for?.,Electronic Instruments,Sawtooth Generator
