Timestamp,response_code,relevance,understandability
11/15/2024 19:35:54,26_1,4,5
11/15/2024 19:36:00,26_2,5,5
11/15/2024 19:43:34,9_1,4,5
11/15/2024 19:43:51,9_2,3,4
11/15/2024 20:21:08,6_1,4,5
11/15/2024 20:23:18,6_2,3,2
11/16/2024 11:24:27,1_1,4,5
11/16/2024 11:25:00,1_2,3,5
11/16/2024 19:41:34,5_1,2,3
11/16/2024 19:41:48,5_2,1,2
11/16/2024 19:42:51,22_1,4,5
11/16/2024 19:43:08,22_2,3,4
11/16/2024 19:47:02,20_2,2,1
11/16/2024 19:47:38,20_1,1,2
11/16/2024 19:49:03,15_1,3,4
11/16/2024 19:49:26,15_2,5,4
11/16/2024 19:50:41,16_1,3,4
11/16/2024 19:51:08,16_2,3,3
11/16/2024 19:53:47,7_1,5,4
11/16/2024 19:54:04,7_2,5,5
11/16/2024 20:02:34,2_1,5,5
11/16/2024 20:03:09,2_2,5,5
11/16/2024 20:03:48,3_1,5,5
11/16/2024 20:04:02,3_2,5,5
11/16/2024 23:32:09,12_1,4,5
11/16/2024 23:38:10,12_2,4,5
12/31/2024 0:51:54,8_1,3,3
12/31/2024 0:52:08,8_2,5,5
12/31/2024 16:29:08,4_2,4,3
12/31/2024 16:29:31,4_1,4,4
